Neighborhood,Price,Sqft,Pricepsqft
foster city,2495,755,3.3046357615894038
palo alto,2695,443,6.0835214446952595
brisbane,3150,1242,2.536231884057971
palo alto,2800,,
san mateo,2196,676,3.2485207100591715
santa clara,3264,1138,2.8681898066783833
san jose south,2000,822,2.4330900243309004
sunnyvale,4740,1406,3.3712660028449504
inner sunset - UCSF,3395,,
richmond - seacliff,2699,,
SOMA - south beach,3620,860,4.209302325581396
dublin - pleasanton - livermore,2025,636,3.1839622641509435
concord - pleasant hill - martinez,,1019,
hercules pinole san pablo el sob,1795,715,2.5104895104895104
corte madera,4299,1533,2.8043052837573383
